alpha_growth,beta_growth,ci_lower,ci_upper,ci_width,convergence_rate,delta_alpha,delta_beta,delta_expected_ll,delta_free_energy,delta_kl,delta_log_ml,delta_posterior_mean,delta_posterior_std,empirical_mean,expected_log_likelihood,free_energy,head_rate,information_gain,kl_divergence,learning_rate,log_marginal_likelihood,n_heads,n_samples,n_tails,posterior_alpha,posterior_beta,posterior_mean,posterior_mode,posterior_prior_diff,posterior_std,posterior_var,prior_mean,uncertainty_reduction
1.0,0.0,0.1516522298084301,0.6511244935811861,0.499472263772756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0198773448773448,1.0986122886681067,1.0,0.07873494379076185,0.07873494379076185,0.0,-1.0986122885681073,1.0,1.0,0.0,5.0,8.0,0.38461538461538464,0.36363636363636365,0.05128205128205132,0.13002373149669486,0.0169061707523246,0.3333333333333333,0.00018784634169249567
2.0,0.0,0.19223244180128793,0.6842223970859371,0.49198995528464917,0.0005796401400797006,1.0,0.0,-0.7737234987234982,0.9555114450274347,0.18178794630393647,-0.9555114449274349,0.04395604395604391,-0.002248418496706872,1.0,-1.793600843600843,2.0541237336955414,1.0,0.2605228900946983,0.2605228900946983,0.18178794630393647,-2.0541237334955422,2.0,2.0,0.0,6.0,8.0,0.42857142857142855,0.4166666666666667,0.09523809523809523,0.12777531299998798,0.0163265306122449,0.3333333333333333,0.0007674864817721963
3.0,0.0,0.23036054144806245,0.7113905999616927,0.4810300585136303,0.0007709750566893443,1.0,0.0,-0.6110861360861364,0.8472978603872043,0.23621172430106796,-0.8472978602872043,0.038095238095238126,-0.003053400107523266,1.0,-2.4046869796869794,2.9014215940827457,1.0,0.49673461439576627,0.49673461439576627,0.23621172430106796,-2.9014215937827466,3.0,3.0,0.0,7.0,8.0,0.4666666666666667,0.46153846153846156,0.13333333333333336,0.12472191289246472,0.015555555555555555,0.3333333333333333,0.0015384615384615406
4.0,0.0,0.2658613472773964,0.7341386527226035,0.46827730544520707,0.0008496732026143788,1.0,0.0,-0.4968004218004234,0.7621400520468997,0.26533963024647633,-0.7621400519468988,0.033333333333333326,-0.003454100374298233,1.0,-2.901487401487403,3.6635616461296454,1.0,0.7620742446422426,0.7620742446422426,0.26533963024647633,-3.6635616457296454,4.0,4.0,0.0,8.0,8.0,0.5,0.5,0.16666666666666669,0.12126781251816648,0.014705882352941176,0.3333333333333333,0.0023881347410759195
5.0,0.0,0.2987768990831774,0.7534898885094248,0.4547129894262474,0.0008650519031141862,1.0,0.0,-0.4128718503718485,0.6931471805599454,0.2802753301880969,-0.6931471804599454,0.02941176470588236,-0.0036207536946370744,1.0,-3.3143592518592513,4.356708826689591,1.0,1.0423495748303395,1.0423495748303395,0.2802753301880969,-4.356708826189591,5.0,5.0,0.0,9.0,8.0,0.5294117647058824,0.5333333333333333,0.19607843137254904,0.11764705882352941,0.01384083044982699,0.3333333333333333,0.0032531866441901057
6.0,0.0,0.3292471539467574,0.7701673127340098,0.44092015878725244,0.0008453788578841707,1.0,0.0,-0.3491463601757703,0.6359887667199962,0.2868424065442259,-0.635988766619997,0.02614379084967322,-0.0036494641474011796,1.0,-3.6635056120350216,4.992697593409587,1.0,1.3291919813745654,1.3291919813745654,0.2868424065442259,-4.992697592809588,6.0,6.0,0.0,10.0,8.0,0.5555555555555556,0.5625,0.22222222222222227,0.11399759467612823,0.01299545159194282,0.3333333333333333,0.0040985655020742764
7.0,0.0,0.35745120589306256,0.7846984926127003,0.42724728671963774,0.0008070859409732897,1.0,0.0,-0.2994731575613936,0.5877866649021195,0.28831350734072636,-0.5877866648021186,0.023391812865497075,-0.0035966632897964923,1.0,-3.962978769596415,5.5804842583117065,1.0,1.6175054887152918,1.6175054887152918,0.28831350734072636,-5.580484257611706,7.0,7.0,0.0,11.0,8.0,0.5789473684210527,0.5882352941176471,0.24561403508771934,0.11040093138633174,0.01218836565096953,0.3333333333333333,0.004905651443047566
8.0,0.0,0.38357792331440527,0.7974785610228373,0.41390063770843205,0.0007597942223981011,1.0,0.0,-0.2599197285342778,0.5465437063680696,0.28662397783379134,-0.5465437062680696,0.021052631578947323,-0.0034964346213619824,1.0,-4.222898498130693,6.127027964679776,1.0,1.904129466549083,1.904129466549083,0.28662397783379134,-6.127027963879776,8.0,8.0,0.0,12.0,8.0,0.6,0.6111111111111112,0.26666666666666666,0.10690449676496976,0.011428571428571429,0.3333333333333333,0.005665445665445667
9.0,0.0,0.40781146546717184,0.8088099392746929,0.40099847380752107,0.0007091321377035668,1.0,0.0,-0.22786231226634168,0.5108256237659896,0.28296331149964793,-0.5108256236659887,0.01904761904761909,-0.0033697717164728053,1.0,-4.450760810397035,6.637853588445766,1.0,2.187092778048731,2.187092778048731,0.28296331149964793,-6.637853587545765,9.0,9.0,0.0,13.0,8.0,0.6190476190476191,0.631578947368421,0.28571428571428575,0.10353472504849695,0.010719439290867862,0.3333333333333333,0.006374577803149234
10.0,0.0,0.4303245170958757,0.8189283744598269,0.3886038573639512,0.0006583541309684721,1.0,0.0,-0.20148868589271185,0.4795730802618854,0.27808439436917354,-0.47957308016188627,0.017316017316017285,-0.0032297642544295985,1.0,-4.6522494962897465,7.117426668707651,1.0,2.4651771724179046,2.4651771724179046,0.27808439436917354,-7.117426667707651,10.0,10.0,0.0,14.0,8.0,0.6363636363636364,0.65,0.30303030303030304,0.10030496079406735,0.01006108515989939,0.3333333333333333,0.007032931934117706
